run,accuracy,macro_f1,qwk,recall_grade_0,recall_grade_1,recall_grade_2,recall_grade_3,recall_grade_4
real_only_r50_s111,0.8306010928961749,0.6835921784632853,0.9065261058422197,0.9923954372623575,0.6333333333333333,0.7828947368421053,0.3125,0.6666666666666666
real_only_r50_s112,0.8214936247723132,0.6845989132230222,0.907350916582369,0.9847908745247148,0.5333333333333333,0.7763157894736842,0.4375,0.6666666666666666
real_only_r50_s113,0.8287795992714025,0.6917262449746526,0.8965694418278042,0.9885931558935361,0.5666666666666667,0.7960526315789473,0.5,0.5714285714285714
real_only_r50_s114,0.8014571948998178,0.6607887829514697,0.8879686108239272,0.9885931558935361,0.6333333333333333,0.6578947368421053,0.375,0.7142857142857143
real_only_r50_s115,0.825136612021858,0.6950369143073156,0.8997283905519976,0.9885931558935361,0.6166666666666667,0.743421052631579,0.53125,0.6190476190476191
real_only_s111,0.825136612021858,0.6791023343288829,0.9009162157175309,0.9923954372623575,0.48333333333333334,0.8092105263157895,0.40625,0.6428571428571429
real_only_s112,0.8415300546448088,0.7133619915786453,0.9160998610324352,0.9961977186311787,0.5166666666666667,0.8223684210526315,0.5625,0.6190476190476191
real_only_s113,0.8269581056466302,0.678621927303941,0.9068524409287223,1.0,0.55,0.7894736842105263,0.4375,0.5714285714285714
real_only_s114,0.8214936247723132,0.704902561069544,0.9099409448818898,0.9885931558935361,0.65,0.6907894736842105,0.65625,0.6190476190476191
real_only_s115,0.8324225865209471,0.6819494213068521,0.8975047175492833,0.9961977186311787,0.6,0.8026315789473685,0.40625,0.5714285714285714
real_plus_synth_blendA_r50_s111,0.8306010928961749,0.6966073904224224,0.9003339941700585,0.9923954372623575,0.6166666666666667,0.7828947368421053,0.375,0.6428571428571429
real_plus_synth_blendA_r50_s112,0.8324225865209471,0.7003482108439745,0.9098251307012799,0.9961977186311787,0.5,0.7960526315789473,0.53125,0.6428571428571429
real_plus_synth_blendA_r50_s113,0.8342440801457195,0.6940965732087226,0.9096015120459594,0.9923954372623575,0.5166666666666667,0.8223684210526315,0.40625,0.6666666666666666
real_plus_synth_blendA_r50_s114,0.8324225865209471,0.6894030629840913,0.9009685980492501,0.9961977186311787,0.6,0.7894736842105263,0.375,0.6428571428571429
real_plus_synth_blendA_r50_s115,0.819672131147541,0.6544699475187157,0.8971817014340517,0.9467680608365019,0.6,0.868421052631579,0.21875,0.6190476190476191
real_plus_synth_blendA_s111,0.8378870673952641,0.7056640685169049,0.917014162513176,0.9923954372623575,0.5,0.8289473684210527,0.5,0.6428571428571429
real_plus_synth_blendA_s112,0.848816029143898,0.7214829973309597,0.9220389611550314,1.0,0.5666666666666667,0.8157894736842105,0.46875,0.7142857142857143
real_plus_synth_blendA_s113,0.8378870673952641,0.7012832041666177,0.9189946606995125,1.0,0.5333333333333333,0.8157894736842105,0.375,0.6904761904761905
real_plus_synth_blendA_s114,0.843351548269581,0.7199796102443007,0.9175218802721254,0.9885931558935361,0.6166666666666667,0.8092105263157895,0.5,0.6428571428571429
real_plus_synth_blendA_s115,0.8451730418943534,0.7158894388501496,0.9266065311918529,0.9923954372623575,0.5666666666666667,0.8157894736842105,0.4375,0.7380952380952381
